Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2020-BLG-0001,BLG01K0102.016083,17:53:52.14,-30:57:03.82,9086.87996,0.82,0.3,18.55,18.55,18.55,1,1.91,MB20046
KMT-2020-BLG-0002,BLG01K0403.024508,17:52:13.41,-30:42:19.01,8918.48572,97.7,0.011,23.17,18.92,18.92,1,1.79,MB20045
KMT-2020-BLG-0003,SAO01K0608.002004,17:50:51.72,-30:06:29.70,8931.77567,1.89,0.918,15.97,15.95,15.95,1,2.73,
KMT-2020-BLG-0004,BLG01T0308.032946,17:52:49.99,-31:17:44.30,8910.71354,13.13,0.094,22.29,19.5,19.5,1,2.11,
KMT-2020-BLG-0005,BLG01T0501.003166,17:51:33.40,-32:05:19.90,8925.18513,34.6,0.048,21.95,16.86,16.86,1,2.2,
KMT-2020-BLG-0006,BLG01T0808.013474,17:49:42.59,-31:14:47.22,8914.3424,14.71,0.044,22.08,20.0,21.46,2,5.06,
KMT-2020-BLG-0007,BLG02K0204.070553,17:53:28.60,-28:34:22.91,8915.95765,12.59,0.02,21.24,20.0,21.13,2,2.68,
KMT-2020-BLG-0008,SSO02N0104.059698,17:59:00.21,-29:37:37.49,8920.28177,6.92,0.049,20.95,19.38,19.38,1,1.37,
KMT-2020-BLG-0009,SSO02N0705.085769,17:55:23.11,-29:29:10.39,8922.32546,7.15,0.198,20.01,19.72,19.72,1,1.46,MB20062
KMT-2020-BLG-0010,SAO02N0804.091674,17:55:03.83,-29:42:18.50,8931.555,3.61,0.252,19.55,19.85,19.85,1,1.44,
KMT-2020-BLG-0011,BLG02T0207.008257,17:53:07.01,-29:17:38.18,8917.09671,199.7,0.023,22.53,16.83,16.83,1,2.29,
KMT-2020-BLG-0012,BLG02T0207.012532,17:53:16.16,-29:12:18.68,8943.83083,20.77,0.057,18.08,17.51,17.51,1,2.17,
KMT-2020-BLG-0013,SAO02T0605.046722,17:51:15.08,-29:31:25.39,8912.70664,143.14,0.003,25.3,20.0,20.47,1,3.0,
KMT-2020-BLG-0014,SSO03K0303.069356,18:00:29.85,-27:35:25.01,8950.49405,74.62,0.156,20.35,19.88,19.88,1,1.74,
KMT-2020-BLG-0015,BLG03K0308.056766,18:00:18.24,-26:54:12.96,8925.916,126.19,0.002,23.55,20.0,21.46,3,2.83,MB20066
KMT-2020-BLG-0016,BLG03K0605.020528,17:58:44.66,-27:19:02.21,8915.93269,31.04,0.126,19.77,18.99,18.99,1,2.14,
KMT-2020-BLG-0017,BLG03K0606.031412,17:58:28.41,-27:11:57.12,8919.89121,66.48,0.106,19.75,19.84,19.84,2,2.8,MB20034
KMT-2020-BLG-0018,SSO03N0405.034454,18:04:37.61,-28:28:52.10,9011.86805,200.0,1.0,18.78,18.78,18.78,1,0.85,
KMT-2020-BLG-0019,BLG03N0503.029855,18:04:12.10,-28:40:06.71,8934.41089,48.93,0.263,19.45,18.56,18.56,1,0.82,
KMT-2020-BLG-0020,SAO03N0808.007261,18:02:32.51,-28:04:33.60,8930.47885,25.5,0.014,21.71,17.1,17.1,1,1.09,
KMT-2020-BLG-0021,SAO03T0206.067049,18:01:06.45,-28:19:18.41,9042.43473,5.15,0.388,19.26,19.42,19.42,1,1.14,
KMT-2020-BLG-0022,SAO03T0808.031553,17:57:40.84,-28:02:57.19,8929.19948,8.08,0.038,22.21,19.31,19.31,1,2.32,
KMT-2020-BLG-0023,BLG04K0305.052205,18:02:00.61,-29:26:45.20,8928.77273,11.09,0.331,19.39,19.57,19.57,1,1.39,
KMT-2020-BLG-0024,BLG04K0706.007963,18:00:04.51,-29:17:15.40,8912.33472,11.07,0.47,17.3,17.35,17.35,1,1.3,MB20063
