Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2016-BLG-0001,SAO02K0103.022072,17:54:14.09,-28:40:58.91,7549.19296,39.1,0.704,19.05,19.04,19.04,2,2.14,OB160785,2016,268.5587083333333,-28.683030555555558
KMT-2016-BLG-0002,BLG02K0105.005671,17:54:09.09,-28:25:06.13,7533.68206,6.22,1.0,18.21,17.52,17.52,2,2.48,OB160902,2016,268.53787499999993,-28.418369444444444
KMT-2016-BLG-0003,SAO02K0105.007856,17:54:03.78,-28:26:34.37,7569.58472,37.21,0.325,20.04,17.91,17.91,2,2.54,OB161052,2016,268.5157499999999,-28.442880555555554
KMT-2016-BLG-0004,BLG02K0203.015135,17:53:29.68,-28:40:30.68,7567.36853,25.68,0.256,20.76,18.93,18.93,2,2.6,OB161156,2016,268.3736666666666,-28.67518888888889
KMT-2016-BLG-0005,SSO02K0303.015757,17:53:06.41,-28:36:52.02,7522.98201,141.71,0.002,24.0,20.0,25.0,3,3.09,OB160884,2016,268.2767083333333,-28.61445
KMT-2016-BLG-0006,SAO02K0406.017651,17:52:25.73,-28:15:17.86,7530.53089,20.34,0.013,20.7,20.0,20.26,2,3.96,OB160901 MB16252,2016,268.1072083333333,-28.25496111111111
KMT-2016-BLG-0007,SSO02K0504.002812,17:51:38.16,-28:29:35.99,7511.35877,20.41,0.04,19.72,19.21,19.21,2,3.37,MB16221,2016,267.909,-28.493330555555556
KMT-2016-BLG-0008,BLG02K0505.007830,17:51:46.73,-28:22:26.36,7467.53629,16.06,0.712,18.31,18.34,18.34,2,3.13,OB160314,2016,267.9447083333333,-28.37398888888889
KMT-2016-BLG-0009,BLG02M0104.004378,17:59:03.27,-28:32:17.92,7505.67248,51.64,0.852,16.72,16.16,16.16,1,1.41,OB160304 MB16114,2016,269.763625,-28.538311111111113
KMT-2016-BLG-0010,BLG02M0104.050351,17:58:56.04,-28:33:47.92,7473.56272,27.13,0.7,19.16,19.24,19.24,1,1.45,OB160305,2016,269.7335,-28.563311111111112
KMT-2016-BLG-0011,SAO02M0108.005159,17:58:40.84,-28:00:00.22,7509.20073,8.11,0.285,19.04,17.2,17.2,1,2.44,OB160790 MB16213,2016,269.6701666666666,-28.000061111111112
KMT-2016-BLG-0012,SAO02M0202.068202,17:58:18.60,-28:45:11.99,7583.71465,6.68,0.587,19.44,19.48,19.48,1,1.3,OB161338,2016,269.5775,-28.753330555555557
KMT-2016-BLG-0013,BLG02M0204.052814,17:58:24.28,-28:32:41.39,7488.28961,68.87,0.023,23.18,19.48,19.48,1,1.62,OB160601,2016,269.6011666666666,-28.544830555555556
KMT-2016-BLG-0014,SSO02M0301.014968,17:57:54.06,-28:52:42.10,7477.74672,136.61,0.055,18.33,17.97,17.97,1,1.15,MB16021,2016,269.47524999999996,-28.87836111111111
KMT-2016-BLG-0015,BLG02M0401.082037,17:57:12.71,-28:51:05.00,7567.6473,6.29,0.182,20.94,19.86,19.86,1,1.53,,2016,269.3029583333333,-28.85138888888889
KMT-2016-BLG-0016,BLG02M0404.013400,17:56:51.39,-28:27:44.50,7506.95824,199.96,0.007,22.63,18.07,18.07,1,1.87,OB160559,2016,269.21412499999997,-28.46236111111111
KMT-2016-BLG-0017,SAO02M0407.040487,17:57:02.50,-28:06:58.21,7494.25182,199.3,0.005,24.02,19.27,19.27,1,1.9,OB160613,2016,269.26041666666663,-28.116169444444445
KMT-2016-BLG-0018,BLG02M0408.009460,17:57:19.51,-28:04:14.30,7565.88324,20.81,0.297,17.66,17.72,17.72,1,1.97,OB160911 MB16331,2016,269.33129166666663,-28.07063888888889
KMT-2016-BLG-0019,BLG02M0501.030037,17:56:20.02,-28:51:05.00,7569.79624,10.32,0.161,20.3,19.15,19.15,1,2.07,OB161247,2016,269.0834166666666,-28.85138888888889
KMT-2016-BLG-0020,BLG02M0508.044508,17:56:34.37,-27:59:31.99,7554.21529,24.75,0.201,19.7,19.63,19.63,1,1.78,OB160987,2016,269.1432083333333,-27.992219444444444
KMT-2016-BLG-0021,BLG02M0601.012329,17:55:44.17,-28:51:12.78,7506.81652,10.09,0.41,18.3,18.38,18.38,2,1.78,OB160676 MB16215,2016,268.93404166666664,-28.853550000000002
KMT-2016-BLG-0022,SAO02M0603.008514,17:56:00.12,-28:36:17.10,7490.35578,29.0,0.087,20.96,17.18,17.18,1,1.7,OB160594 OB160626 OB160627,2016,269.0005,-28.604750000000003
KMT-2016-BLG-0023,SSO02M0607.000895,17:55:42.81,-28:11:53.74,7485.2867,66.68,0.202,16.69,16.74,16.74,2,2.77,OB160015 MB16061,2016,268.928375,-28.198261111111112
KMT-2016-BLG-0024,SSO02M0701.001385,17:55:29.03,-28:56:36.38,7513.28281,11.64,0.054,21.43,15.92,15.92,2,1.93,,2016,268.8709583333333,-28.94343888888889
KMT-2016-BLG-0025,SAO02M0703.016658,17:55:14.49,-28:36:59.00,7562.49966,15.34,0.118,19.81,19.19,19.19,2,2.32,OB161145,2016,268.81037499999996,-28.616388888888892
KMT-2016-BLG-0026,SAO02M0705.009342,17:55:30.15,-28:23:25.55,7508.91933,7.5,0.634,19.41,18.07,18.07,2,2.28,OB160765,2016,268.875625,-28.390430555555554
KMT-2016-BLG-0027,BLG02M0802.003583,17:54:39.18,-28:45:11.52,7563.87245,16.81,0.947,17.1,16.54,16.54,2,1.9,OB160964 MB16335,2016,268.66324999999995,-28.7532
KMT-2016-BLG-0028,SAO02M0803.011450,17:54:37.77,-28:37:25.21,7491.76446,4.49,0.006,20.05,18.03,18.03,2,2.08,,2016,268.65737499999994,-28.623669444444445
KMT-2016-BLG-0029,SAO02M0804.011951,17:55:03.14,-28:32:36.96,7503.42675,9.64,0.176,19.8,18.59,18.59,2,2.37,,2016,268.7630833333333,-28.5436
KMT-2016-BLG-0030,BLG02M0805.019541,17:54:58.27,-28:27:26.86,7601.37291,41.66,0.276,20.17,19.84,19.84,2,2.65,OB161353,2016,268.7427916666666,-28.45746111111111
KMT-2016-BLG-0031,SAO02N0808.057073,17:54:56.94,-29:05:50.78,7526.62407,16.28,0.488,19.52,19.57,19.57,1,2.15,,2016,268.73724999999996,-29.097438888888888
KMT-2016-BLG-0032,BLG02T0108.095109,17:53:47.15,-29:06:37.80,7553.35654,10.29,0.201,20.35,19.84,19.84,1,1.76,OB161088,2016,268.4464583333333,-29.110500000000002
KMT-2016-BLG-0033,BLG02T0208.018435,17:53:36.31,-29:06:07.99,7490.15349,5.98,0.913,18.72,18.09,18.09,1,2.12,,2016,268.4012916666666,-29.102219444444447
KMT-2016-BLG-0034,SAO02T0308.019825,17:53:02.10,-29:10:52.21,7488.97221,12.58,0.142,20.58,18.45,18.45,1,2.51,OB160574,2016,268.25874999999996,-29.181169444444446
KMT-2016-BLG-0035,BLG02T0408.021793,17:52:21.51,-29:09:28.58,7613.39229,52.28,0.357,19.4,19.04,19.04,1,2.66,OB161386,2016,268.08962499999996,-29.157938888888886
KMT-2016-BLG-0036,BLG02T0508.042910,17:51:44.22,-29:10:25.50,7563.06548,27.23,0.233,21.47,20.0,20.91,1,3.55,,2016,267.93424999999996,-29.173750000000002
KMT-2016-BLG-0037,BLG03K0402.029936,17:59:43.76,-27:38:43.40,7586.94053,13.54,0.244,19.09,19.12,19.12,1,1.85,OB161352 OB161358 MB16418,2016,269.9323333333333,-27.64538888888889
KMT-2016-BLG-0038,SAO03K0404.049662,17:59:57.80,-27:29:59.60,7567.76227,43.48,0.208,19.61,19.64,19.64,1,1.85,OB161177,2016,269.99083333333334,-27.49988888888889
KMT-2016-BLG-0039,SAO03K0501.051676,17:59:14.92,-27:51:55.51,7546.57131,90.76,0.036,22.95,19.66,19.66,1,1.89,,2016,269.81216666666666,-27.865419444444445
KMT-2016-BLG-0040,SAO03K0603.012829,17:58:36.09,-27:32:16.19,7647.70077,119.39,0.148,20.05,18.06,18.06,1,1.7,MB16529,2016,269.65037499999994,-27.53783055555556
KMT-2016-BLG-0041,SAO03K0702.017537,17:58:12.89,-27:41:53.30,7583.53027,13.26,0.303,20.47,18.64,18.64,1,1.95,,2016,269.55370833333325,-27.698138888888888
KMT-2016-BLG-0042,BLG03M0202.088227,18:05:34.08,-27:39:38.81,7492.73604,15.88,0.145,19.84,20.0,20.26,1,0.97,OB160562,2016,271.392,-27.660780555555554
KMT-2016-BLG-0043,BLG03M0406.019032,18:04:31.07,-27:14:50.71,7534.2415,16.53,0.356,19.11,18.23,18.23,1,0.91,OB160879,2016,271.1294583333333,-27.247419444444446
KMT-2016-BLG-0044,SAO03M0507.044553,18:04:10.25,-27:06:17.39,7569.56051,199.38,0.018,22.52,19.31,19.31,1,1.21,OB161207 MB16362,2016,271.0427083333333,-27.10483055555556
KMT-2016-BLG-0045,BLG03M0607.013795,18:03:45.83,-27:00:37.80,7556.84973,7.03,0.478,19.92,18.63,18.63,1,1.47,OB161123,2016,270.9409583333333,-27.0105
KMT-2016-BLG-0046,SAO03M0608.004609,18:03:35.75,-26:56:35.41,7626.23531,33.88,0.789,16.97,16.98,16.98,1,1.53,OB161215 MB16476,2016,270.8989583333333,-26.943169444444443
KMT-2016-BLG-0047,BLG03M0801.056614,18:02:34.88,-27:51:04.79,7650.45644,30.48,0.506,19.45,19.5,19.5,1,1.29,OB161801,2016,270.6453333333333,-27.851330555555556
KMT-2016-BLG-0048,BLG03M0803.048203,18:02:31.75,-27:31:46.49,7491.50142,55.49,0.021,19.46,19.44,19.44,1,1.51,OB160241 MB16132,2016,270.6322916666667,-27.529580555555555
KMT-2016-BLG-0049,BLG03M0804.048849,18:02:27.50,-27:26:06.11,7510.86042,170.12,0.04,22.05,19.59,19.59,1,1.55,OB160736,2016,270.6145833333333,-27.435030555555556
KMT-2016-BLG-0050,BLG03N0307.032226,18:05:16.98,-28:13:43.21,7568.38597,14.18,0.695,18.56,18.57,18.57,1,0.78,OB161150,2016,271.32075,-28.228669444444442
KMT-2016-BLG-0051,BLG03N0308.007223,18:05:25.03,-28:00:20.09,7557.00412,20.28,0.062,18.81,17.23,17.23,1,0.86,OB160980 OB161020 MB16328,2016,271.3542916666666,-28.005580555555557
KMT-2016-BLG-0052,SSO03N0507.005293,18:04:04.20,-28:13:45.08,7574.1396,8.09,0.083,16.69,16.69,16.69,1,0.91,OB161165 MB16353,2016,271.0175,-28.22918888888889
KMT-2016-BLG-0053,BLG03N0507.092702,18:04:01.21,-28:08:04.20,7566.72703,102.29,0.097,20.55,20.0,20.43,1,0.98,OB160923,2016,271.0050416666666,-28.1345
KMT-2016-BLG-0054,BLG03N0603.004150,18:03:26.13,-28:39:40.28,7470.80693,53.67,0.455,18.98,16.24,16.24,1,0.88,,2016,270.85887499999995,-28.661188888888887
KMT-2016-BLG-0055,SAO03N0603.007438,18:03:43.07,-28:43:21.11,7499.53103,18.47,0.955,17.15,17.17,17.17,1,0.8,OB160546,2016,270.92945833333334,-28.722530555555554
KMT-2016-BLG-0056,BLG03N0605.012896,18:03:22.85,-28:29:57.52,7584.32973,33.03,0.895,17.78,17.77,17.77,1,0.9,OB160995,2016,270.8452083333333,-28.499311111111112
KMT-2016-BLG-0057,BLG03N0608.021037,18:03:20.18,-28:02:41.32,7569.77808,15.83,0.311,20.36,18.39,18.39,1,0.84,,2016,270.8340833333333,-28.044811111111112
KMT-2016-BLG-0058,BLG03N0705.028287,18:03:02.98,-28:24:20.81,7490.58122,15.75,0.686,19.12,18.59,18.59,1,1.0,OB160584,2016,270.76241666666664,-28.405780555555555
KMT-2016-BLG-0059,BLG03N0808.091069,18:02:35.97,-28:00:40.50,7592.66243,197.99,0.017,23.5,20.0,20.5,1,1.21,OB161378,2016,270.649875,-28.01125
KMT-2016-BLG-0060,SAO03T0102.053419,18:01:27.83,-28:51:16.49,7506.46455,16.32,0.499,19.99,19.16,19.16,1,0.98,OB160777,2016,270.36595833333325,-28.854580555555557
KMT-2016-BLG-0061,BLG03T0203.040943,18:00:58.00,-28:41:34.51,7604.9586,51.82,0.348,18.78,18.75,18.75,1,1.06,OB161216,2016,270.2416666666666,-28.692919444444446
