MJD,Magnitude,Error,Facility,Filter,Observer
57805.33614999987,18.9373,0.1151,CTIO_KMTC19,KMT(I),KMT
57805.38341999985,19.1149,0.0827,CTIO_KMTC19,KMT(I),KMT
57806.341159999836,19.0898,0.0876,CTIO_KMTC19,KMT(I),KMT
57806.35319999978,19.0579,0.0647,CTIO_KMTC19,KMT(I),KMT
57806.38758999994,19.2992,0.0771,CTIO_KMTC19,KMT(I),KMT
57807.3259800002,19.1464,0.089,CTIO_KMTC19,KMT(I),KMT
57807.32743000006,18.9405,0.0863,CTIO_KMTC19,KMT(I),KMT
57807.33363999985,18.8728,0.0868,CTIO_KMTC19,KMT(I),KMT
57807.377749999985,19.2381,0.0767,CTIO_KMTC19,KMT(I),KMT
57808.33061000006,19.1938,0.1263,CTIO_KMTC19,KMT(I),KMT
57808.36963000009,18.9987,0.1082,CTIO_KMTC19,KMT(I),KMT
57809.328410000075,18.9522,0.0737,CTIO_KMTC19,KMT(I),KMT
57809.33470000001,18.8779,0.0818,CTIO_KMTC19,KMT(I),KMT
57809.37309999997,19.0579,0.1017,CTIO_KMTC19,KMT(I),KMT
57810.32556999987,19.0536,0.0901,CTIO_KMTC19,KMT(I),KMT
57810.36279999977,19.295,0.0872,CTIO_KMTC19,KMT(I),KMT
57811.32886999985,19.0728,0.1141,CTIO_KMTC19,KMT(I),KMT
57811.349679999985,19.142,0.09,CTIO_KMTC19,KMT(I),KMT
57811.39258000022,19.2125,0.0559,CTIO_KMTC19,KMT(I),KMT
57812.32041999977,19.1523,0.0997,CTIO_KMTC19,KMT(I),KMT
57812.371009999886,19.2108,0.0687,CTIO_KMTC19,KMT(I),KMT
57813.31161999982,19.0104,0.0864,CTIO_KMTC19,KMT(I),KMT
57813.337249999866,19.3097,0.0776,CTIO_KMTC19,KMT(I),KMT
57813.38361999998,19.2637,0.0531,CTIO_KMTC19,KMT(I),KMT
57814.324029999785,18.9554,0.0572,CTIO_KMTC19,KMT(I),KMT
57814.3355200002,19.2592,0.0557,CTIO_KMTC19,KMT(I),KMT
57814.358070000075,19.3296,0.0797,CTIO_KMTC19,KMT(I),KMT
57814.39691000013,19.3128,0.0584,CTIO_KMTC19,KMT(I),KMT
57815.31484000012,19.2592,0.0698,CTIO_KMTC19,KMT(I),KMT
57815.32883000001,18.9123,0.0966,CTIO_KMTC19,KMT(I),KMT
57815.37703000009,19.2864,0.0886,CTIO_KMTC19,KMT(I),KMT
57815.395740000065,19.2487,0.0675,CTIO_KMTC19,KMT(I),KMT
57816.308310000226,19.0311,0.0932,CTIO_KMTC19,KMT(I),KMT
57816.35395999998,19.1349,0.0677,CTIO_KMTC19,KMT(I),KMT
57816.38972999994,19.1205,0.0638,CTIO_KMTC19,KMT(I),KMT
57817.32394000003,19.0134,0.0775,CTIO_KMTC19,KMT(I),KMT
57817.36788999988,19.0749,0.0717,CTIO_KMTC19,KMT(I),KMT
57819.302720000036,19.083,0.0542,CTIO_KMTC19,KMT(I),KMT
57819.33163999999,19.2881,0.0578,CTIO_KMTC19,KMT(I),KMT
57819.37955000019,19.2317,0.0454,CTIO_KMTC19,KMT(I),KMT
57820.30018999986,19.1525,0.0799,CTIO_KMTC19,KMT(I),KMT
57820.3330000001,19.3752,0.067,CTIO_KMTC19,KMT(I),KMT
57820.37159000011,19.2846,0.0698,CTIO_KMTC19,KMT(I),KMT
57821.29309999989,19.01,0.0739,CTIO_KMTC19,KMT(I),KMT
57821.29459000006,19.0683,0.0713,CTIO_KMTC19,KMT(I),KMT
57821.296300000045,19.1528,0.093,CTIO_KMTC19,KMT(I),KMT
57821.33497999981,18.9975,0.0682,CTIO_KMTC19,KMT(I),KMT
57821.376389999874,19.2053,0.0489,CTIO_KMTC19,KMT(I),KMT
57822.29422000004,19.1851,0.134,CTIO_KMTC19,KMT(I),KMT
57822.29558000015,18.8894,0.0932,CTIO_KMTC19,KMT(I),KMT
57822.33118999982,19.2019,0.0689,CTIO_KMTC19,KMT(I),KMT
57822.37486999994,19.2683,0.0633,CTIO_KMTC19,KMT(I),KMT
57823.291240000166,19.2097,0.1213,CTIO_KMTC19,KMT(I),KMT
57823.307140000165,19.102,0.0943,CTIO_KMTC19,KMT(I),KMT
57823.359629999846,19.1416,0.0862,CTIO_KMTC19,KMT(I),KMT
57824.28529000003,18.8627,0.0904,CTIO_KMTC19,KMT(I),KMT
57824.3232499999,19.0589,0.088,CTIO_KMTC19,KMT(I),KMT
57824.373689999804,19.0226,0.0708,CTIO_KMTC19,KMT(I),KMT
57826.274559999816,18.8131,0.066,CTIO_KMTC19,KMT(I),KMT
57826.29257000005,19.2324,0.1089,CTIO_KMTC19,KMT(I),KMT
57826.342019999865,19.0903,0.0663,CTIO_KMTC19,KMT(I),KMT
57826.38789999997,18.96,0.1592,CTIO_KMTC19,KMT(I),KMT
57827.27119999984,19.0829,0.0906,CTIO_KMTC19,KMT(I),KMT
57827.295859999955,19.1699,0.1958,CTIO_KMTC19,KMT(I),KMT
57827.34543999983,19.0915,0.0811,CTIO_KMTC19,KMT(I),KMT
57827.383349999785,19.2053,0.0588,CTIO_KMTC19,KMT(I),KMT
57828.27251000004,19.1998,0.1143,CTIO_KMTC19,KMT(I),KMT
57828.287140000146,19.2766,0.1052,CTIO_KMTC19,KMT(I),KMT
57828.338299999945,19.2762,0.0926,CTIO_KMTC19,KMT(I),KMT
57828.37435999978,19.3226,0.0581,CTIO_KMTC19,KMT(I),KMT
57828.3757600002,19.4262,0.0615,CTIO_KMTC19,KMT(I),KMT
57829.27061000001,19.0509,0.1012,CTIO_KMTC19,KMT(I),KMT
57829.294559999835,19.0854,0.1274,CTIO_KMTC19,KMT(I),KMT
57829.33161000023,19.0554,0.0778,CTIO_KMTC19,KMT(I),KMT
