MJD,Magnitude,Error,Facility,Filter,Observer
57808.07463000016,19.2876,0.0654,SAAO_KMTS19,KMT(I),KMT
57808.11663000006,19.3771,0.066,SAAO_KMTS19,KMT(I),KMT
57809.070460000075,19.2477,0.0975,SAAO_KMTS19,KMT(I),KMT
57809.10112999985,19.2176,0.0657,SAAO_KMTS19,KMT(I),KMT
57810.09369000001,19.4614,0.1084,SAAO_KMTS19,KMT(I),KMT
57811.05897000013,18.9466,0.0695,SAAO_KMTS19,KMT(I),KMT
57811.07543999981,19.254,0.0747,SAAO_KMTS19,KMT(I),KMT
57811.12655000016,19.2728,0.0602,SAAO_KMTS19,KMT(I),KMT
57812.05614,19.2227,0.0498,SAAO_KMTS19,KMT(I),KMT
57812.103879999835,19.3485,0.0644,SAAO_KMTS19,KMT(I),KMT
57814.05236000009,19.1754,0.0654,SAAO_KMTS19,KMT(I),KMT
57814.06815999979,19.3305,0.0618,SAAO_KMTS19,KMT(I),KMT
57814.118910000194,19.3922,0.0537,SAAO_KMTS19,KMT(I),KMT
57815.05133999977,19.0369,0.0675,SAAO_KMTS19,KMT(I),KMT
57815.09988000011,19.3451,0.0633,SAAO_KMTS19,KMT(I),KMT
57816.049519999884,19.3221,0.0695,SAAO_KMTS19,KMT(I),KMT
57816.08283999981,19.3049,0.054,SAAO_KMTS19,KMT(I),KMT
57816.13789999997,19.4259,0.0512,SAAO_KMTS19,KMT(I),KMT
57817.04399000015,19.3723,0.0672,SAAO_KMTS19,KMT(I),KMT
57817.048529999796,19.4091,0.0761,SAAO_KMTS19,KMT(I),KMT
57817.10459000012,19.3493,0.057,SAAO_KMTS19,KMT(I),KMT
57818.041629999876,19.3872,0.0959,SAAO_KMTS19,KMT(I),KMT
57818.05839999998,19.3474,0.0925,SAAO_KMTS19,KMT(I),KMT
57818.11848000018,19.388,0.0516,SAAO_KMTS19,KMT(I),KMT
57819.04019000009,19.0999,0.0599,SAAO_KMTS19,KMT(I),KMT
57819.07341000019,19.3103,0.0496,SAAO_KMTS19,KMT(I),KMT
57819.13133999985,19.3218,0.0786,SAAO_KMTS19,KMT(I),KMT
57820.036609999835,19.0153,0.0631,SAAO_KMTS19,KMT(I),KMT
57820.092240000144,19.2713,0.0681,SAAO_KMTS19,KMT(I),KMT
57820.14039999992,19.4423,0.0553,SAAO_KMTS19,KMT(I),KMT
57821.03232999984,18.9887,0.0851,SAAO_KMTS19,KMT(I),KMT
57821.03700000001,19.0233,0.1128,SAAO_KMTS19,KMT(I),KMT
57821.09496999998,19.2854,0.0931,SAAO_KMTS19,KMT(I),KMT
57823.02670999989,19.1784,0.0725,SAAO_KMTS19,KMT(I),KMT
57823.045479999855,19.1525,0.081,SAAO_KMTS19,KMT(I),KMT
57823.10480999993,19.3542,0.0603,SAAO_KMTS19,KMT(I),KMT
57824.02480999986,19.2349,0.0918,SAAO_KMTS19,KMT(I),KMT
57824.0416199998,19.2576,0.0984,SAAO_KMTS19,KMT(I),KMT
57824.09242000012,19.178,0.0625,SAAO_KMTS19,KMT(I),KMT
57825.04008000018,19.7642,0.1798,SAAO_KMTS19,KMT(I),KMT
57825.095639999956,19.1137,0.0831,SAAO_KMTS19,KMT(I),KMT
57825.14788000006,19.4415,0.059,SAAO_KMTS19,KMT(I),KMT
57828.01347000012,19.22,0.082,SAAO_KMTS19,KMT(I),KMT
57828.017949999776,19.1594,0.0735,SAAO_KMTS19,KMT(I),KMT
57828.07444000011,19.289,0.0646,SAAO_KMTS19,KMT(I),KMT
57828.12869999977,19.5382,0.0702,SAAO_KMTS19,KMT(I),KMT
57829.011369999964,19.2266,0.0717,SAAO_KMTS19,KMT(I),KMT
57829.05928000016,19.3577,0.0618,SAAO_KMTS19,KMT(I),KMT
57829.062549999915,19.4729,0.0679,SAAO_KMTS19,KMT(I),KMT
57829.11047000019,19.3639,0.056,SAAO_KMTS19,KMT(I),KMT
57830.009649999905,19.585,0.2173,SAAO_KMTS19,KMT(I),KMT
57830.02632000018,19.0278,0.1443,SAAO_KMTS19,KMT(I),KMT
57830.08277000021,19.3473,0.1347,SAAO_KMTS19,KMT(I),KMT
57830.12286,19.228,0.0808,SAAO_KMTS19,KMT(I),KMT
57832.00388999982,19.6004,0.315,SAAO_KMTS19,KMT(I),KMT
57832.04336000001,19.1236,0.1456,SAAO_KMTS19,KMT(I),KMT
57832.09294999996,19.125,0.1287,SAAO_KMTS19,KMT(I),KMT
57832.142119999975,19.1977,0.1134,SAAO_KMTS19,KMT(I),KMT
57834.00174999982,19.2128,0.0541,SAAO_KMTS19,KMT(I),KMT
57834.05629000021,19.3928,0.0474,SAAO_KMTS19,KMT(I),KMT
57834.103819999844,19.4012,0.0421,SAAO_KMTS19,KMT(I),KMT
57834.15523000015,19.3022,0.0501,SAAO_KMTS19,KMT(I),KMT
57837.99126000004,19.2068,0.0641,SAAO_KMTS19,KMT(I),KMT
57838.01544000022,19.2403,0.0814,SAAO_KMTS19,KMT(I),KMT
57838.063850000035,19.2504,0.0664,SAAO_KMTS19,KMT(I),KMT
57838.11340000015,19.4282,0.0528,SAAO_KMTS19,KMT(I),KMT
57838.98762999987,19.2914,0.0659,SAAO_KMTS19,KMT(I),KMT
57839.003760000225,19.3544,0.0552,SAAO_KMTS19,KMT(I),KMT
57839.06039999984,19.4335,0.0583,SAAO_KMTS19,KMT(I),KMT
57839.10736999987,19.3906,0.0385,SAAO_KMTS19,KMT(I),KMT
57839.98482999997,19.2196,0.0547,SAAO_KMTS19,KMT(I),KMT
57840.10992000019,19.3044,0.0613,SAAO_KMTS19,KMT(I),KMT
57840.15858000005,19.515,0.0916,SAAO_KMTS19,KMT(I),KMT
57840.98246000009,19.2453,0.0745,SAAO_KMTS19,KMT(I),KMT
57840.98791000014,19.3036,0.07,SAAO_KMTS19,KMT(I),KMT
57841.05172999995,19.207,0.0779,SAAO_KMTS19,KMT(I),KMT
57841.10144999996,19.2408,0.0705,SAAO_KMTS19,KMT(I),KMT
57841.97937999992,19.2367,0.0751,SAAO_KMTS19,KMT(I),KMT
57841.983899999876,19.3125,0.0685,SAAO_KMTS19,KMT(I),KMT
57841.98708999995,19.0921,0.0626,SAAO_KMTS19,KMT(I),KMT
57842.04241000023,19.2617,0.0491,SAAO_KMTS19,KMT(I),KMT
57842.09867999982,19.3161,0.054,SAAO_KMTS19,KMT(I),KMT
57842.15565000009,19.4358,0.0544,SAAO_KMTS19,KMT(I),KMT
57842.9764899998,19.1554,0.0594,SAAO_KMTS19,KMT(I),KMT
57842.98097999999,17.4468,0.6085,SAAO_KMTS19,KMT(I),KMT
57843.08322999999,17.6287,0.6481,SAAO_KMTS19,KMT(I),KMT
57843.974239999894,19.1723,0.0667,SAAO_KMTS19,KMT(I),KMT
57844.02902999986,19.184,0.0644,SAAO_KMTS19,KMT(I),KMT
57844.076570000034,19.4133,0.0582,SAAO_KMTS19,KMT(I),KMT
57844.130700000096,19.2536,0.056,SAAO_KMTS19,KMT(I),KMT
57844.97322000004,19.1407,0.0616,SAAO_KMTS19,KMT(I),KMT
57845.0014200001,19.2869,0.0551,SAAO_KMTS19,KMT(I),KMT
57845.05658000009,19.2755,0.0538,SAAO_KMTS19,KMT(I),KMT
57845.11940999981,19.3824,0.0558,SAAO_KMTS19,KMT(I),KMT
57845.96877000015,19.2144,0.0529,SAAO_KMTS19,KMT(I),KMT
