MJD,Magnitude,Error,Facility,Filter,Observer
57836.78796999995,18.8489,0.7621,SSO_KMTA19,KMT(I),KMT
57839.71910999995,19.0751,0.0661,SSO_KMTA19,KMT(I),KMT
57839.74911999982,19.295,0.0432,SSO_KMTA19,KMT(I),KMT
57839.796930000186,19.3267,0.04,SSO_KMTA19,KMT(I),KMT
57843.63036999991,19.6073,0.0901,SSO_KMTA19,KMT(I),KMT
57843.63675000006,19.949,0.1301,SSO_KMTA19,KMT(I),KMT
57843.6857400001,19.212,0.0509,SSO_KMTA19,KMT(I),KMT
57843.73775999993,19.2787,0.044,SSO_KMTA19,KMT(I),KMT
57843.801359999925,19.4375,0.0578,SSO_KMTA19,KMT(I),KMT
57844.6362999999,19.9754,0.1337,SSO_KMTA19,KMT(I),KMT
57844.640529999975,20.1817,0.1685,SSO_KMTA19,KMT(I),KMT
57844.68742999993,19.4081,0.0649,SSO_KMTA19,KMT(I),KMT
57846.625680000056,19.5371,0.0839,SSO_KMTA19,KMT(I),KMT
57850.608839999884,19.9159,0.1594,SSO_KMTA19,KMT(I),KMT
57850.61027000006,19.4462,0.0918,SSO_KMTA19,KMT(I),KMT
57850.6137000001,19.2403,0.0738,SSO_KMTA19,KMT(I),KMT
57850.675590000115,19.6086,0.0914,SSO_KMTA19,KMT(I),KMT
57850.72715999978,19.6625,0.0832,SSO_KMTA19,KMT(I),KMT
57850.792839999776,19.3438,0.0646,SSO_KMTA19,KMT(I),KMT
57851.6280100001,19.3162,0.0649,SSO_KMTA19,KMT(I),KMT
57851.63304999983,19.3313,0.0763,SSO_KMTA19,KMT(I),KMT
57851.68492999999,19.2876,0.0544,SSO_KMTA19,KMT(I),KMT
57851.73945999984,19.3574,0.0451,SSO_KMTA19,KMT(I),KMT
57852.604220000096,14.2432,0.0165,SSO_KMTA19,KMT(I),KMT
57855.5987999998,19.2711,0.0828,SSO_KMTA19,KMT(I),KMT
57856.59689000016,19.2874,0.0826,SSO_KMTA19,KMT(I),KMT
57856.615009999834,19.1371,0.0621,SSO_KMTA19,KMT(I),KMT
57856.66490000021,19.2724,0.0687,SSO_KMTA19,KMT(I),KMT
57856.72415000014,19.3644,0.0611,SSO_KMTA19,KMT(I),KMT
57856.76598000014,19.3662,0.0623,SSO_KMTA19,KMT(I),KMT
57857.60306000011,19.4522,0.0899,SSO_KMTA19,KMT(I),KMT
57857.635089999996,19.4316,0.0795,SSO_KMTA19,KMT(I),KMT
57857.70012999978,19.1862,0.0478,SSO_KMTA19,KMT(I),KMT
57857.7577399998,19.3114,0.0521,SSO_KMTA19,KMT(I),KMT
57859.584160000086,19.5838,0.234,SSO_KMTA19,KMT(I),KMT
57859.585500000045,19.4403,0.2008,SSO_KMTA19,KMT(I),KMT
57859.62474999996,19.313,0.177,SSO_KMTA19,KMT(I),KMT
57859.67163999984,19.251,0.1485,SSO_KMTA19,KMT(I),KMT
57859.727539999876,19.3257,0.1626,SSO_KMTA19,KMT(I),KMT
57859.77552000014,19.0877,0.1201,SSO_KMTA19,KMT(I),KMT
57860.57824000018,19.1004,0.0875,SSO_KMTA19,KMT(I),KMT
57860.6523099998,19.3103,0.0969,SSO_KMTA19,KMT(I),KMT
57860.69878999982,19.0995,0.0726,SSO_KMTA19,KMT(I),KMT
57860.75571999978,19.3223,0.0904,SSO_KMTA19,KMT(I),KMT
57860.808120000176,19.1467,0.0658,SSO_KMTA19,KMT(I),KMT
57861.571030000225,19.1829,0.0642,SSO_KMTA19,KMT(I),KMT
57861.612459999975,19.1478,0.0512,SSO_KMTA19,KMT(I),KMT
57862.56446000002,19.9815,0.1708,SSO_KMTA19,KMT(I),KMT
57862.5686900001,20.1756,0.2063,SSO_KMTA19,KMT(I),KMT
57862.57029000018,19.046,0.0592,SSO_KMTA19,KMT(I),KMT
57862.622190000024,19.7204,0.8869,SSO_KMTA19,KMT(I),KMT
57862.71969999978,19.2491,0.0577,SSO_KMTA19,KMT(I),KMT
57862.78029000014,19.9879,0.9199,SSO_KMTA19,KMT(I),KMT
57870.54289000016,18.2258,0.0369,SSO_KMTA19,KMT(I),KMT
57870.58021999989,17.9259,0.0199,SSO_KMTA19,KMT(I),KMT
57870.72953000013,18.017,0.0179,SSO_KMTA19,KMT(I),KMT
57870.78050999995,18.0497,0.0207,SSO_KMTA19,KMT(I),KMT
57872.746230000164,18.9412,0.0447,SSO_KMTA19,KMT(I),KMT
57873.535339999944,18.8532,0.0422,SSO_KMTA19,KMT(I),KMT
57873.53976000007,18.8184,0.0382,SSO_KMTA19,KMT(I),KMT
57873.60588000016,18.8707,0.0298,SSO_KMTA19,KMT(I),KMT
57873.65983999986,18.8697,0.0295,SSO_KMTA19,KMT(I),KMT
57873.708719999995,18.9524,0.0344,SSO_KMTA19,KMT(I),KMT
57873.77326000016,18.8922,0.0374,SSO_KMTA19,KMT(I),KMT
57875.547799999826,19.702,0.2216,SSO_KMTA19,KMT(I),KMT
57875.779360000044,19.4621,0.0829,SSO_KMTA19,KMT(I),KMT
57878.52273999993,19.1828,0.0722,SSO_KMTA19,KMT(I),KMT
57878.5425499999,19.4203,0.08,SSO_KMTA19,KMT(I),KMT
57878.59256999986,19.2548,0.0545,SSO_KMTA19,KMT(I),KMT
57878.65179000003,19.2039,0.0443,SSO_KMTA19,KMT(I),KMT
57878.70658,19.1229,0.0449,SSO_KMTA19,KMT(I),KMT
57878.77848999994,19.2002,0.0522,SSO_KMTA19,KMT(I),KMT
57879.52009999985,19.4693,0.0968,SSO_KMTA19,KMT(I),KMT
57879.53811000008,19.0798,0.0658,SSO_KMTA19,KMT(I),KMT
57879.59003000008,19.187,0.0474,SSO_KMTA19,KMT(I),KMT
57880.5187400002,19.3434,0.0886,SSO_KMTA19,KMT(I),KMT
57880.569159999955,19.3203,0.0611,SSO_KMTA19,KMT(I),KMT
57880.62417999981,19.2383,0.048,SSO_KMTA19,KMT(I),KMT
57880.68423999986,19.3027,0.0577,SSO_KMTA19,KMT(I),KMT
57880.74032999994,19.237,0.0432,SSO_KMTA19,KMT(I),KMT
57881.51882999996,19.5648,0.1191,SSO_KMTA19,KMT(I),KMT
57881.537330000196,19.2413,0.0723,SSO_KMTA19,KMT(I),KMT
57881.59810000006,19.2724,0.0684,SSO_KMTA19,KMT(I),KMT
57881.6459499998,19.3927,0.0718,SSO_KMTA19,KMT(I),KMT
57882.51243000012,19.5479,0.1541,SSO_KMTA19,KMT(I),KMT
57882.55629000021,19.342,0.0948,SSO_KMTA19,KMT(I),KMT
57882.60709000006,19.2413,0.0777,SSO_KMTA19,KMT(I),KMT
57882.66874000011,19.3749,0.0802,SSO_KMTA19,KMT(I),KMT
57882.734089999925,18.9832,0.1885,SSO_KMTA19,KMT(I),KMT
57882.73643000005,19.231,0.0604,SSO_KMTA19,KMT(I),KMT
57882.789919999894,19.2887,0.0706,SSO_KMTA19,KMT(I),KMT
57883.5101999999,19.0748,0.091,SSO_KMTA19,KMT(I),KMT
57883.564290000126,19.2739,0.0767,SSO_KMTA19,KMT(I),KMT
57883.61701000016,19.3004,0.0644,SSO_KMTA19,KMT(I),KMT
57883.68188000005,19.3771,0.0731,SSO_KMTA19,KMT(I),KMT
57883.74176000012,19.3299,0.061,SSO_KMTA19,KMT(I),KMT
57883.79260999989,19.2446,0.0634,SSO_KMTA19,KMT(I),KMT
57884.50667000003,19.2764,0.1103,SSO_KMTA19,KMT(I),KMT
57884.556570000015,20.1756,0.3086,SSO_KMTA19,KMT(I),KMT
57884.62052999996,19.4787,0.1213,SSO_KMTA19,KMT(I),KMT
57884.78952000011,19.0507,0.0885,SSO_KMTA19,KMT(I),KMT
57886.5033900002,19.0656,0.1924,SSO_KMTA19,KMT(I),KMT
57886.548369999975,19.4308,0.3514,SSO_KMTA19,KMT(I),KMT
57888.55457000015,19.3871,0.1198,SSO_KMTA19,KMT(I),KMT
57888.621999999974,19.4663,0.1253,SSO_KMTA19,KMT(I),KMT
57888.76793000009,19.5571,0.0949,SSO_KMTA19,KMT(I),KMT
57888.780720000155,19.4408,0.0931,SSO_KMTA19,KMT(I),KMT
57889.493400000036,19.3682,0.0909,SSO_KMTA19,KMT(I),KMT
57889.51035000011,19.3639,0.1074,SSO_KMTA19,KMT(I),KMT
57889.57573000016,19.7387,0.3726,SSO_KMTA19,KMT(I),KMT
57889.63451999985,19.2734,0.1083,SSO_KMTA19,KMT(I),KMT
57889.70047000004,19.4178,0.114,SSO_KMTA19,KMT(I),KMT
57889.77934999997,19.29,0.1209,SSO_KMTA19,KMT(I),KMT
57890.49090000009,19.7402,0.1732,SSO_KMTA19,KMT(I),KMT
57890.53169000009,19.1836,0.097,SSO_KMTA19,KMT(I),KMT
57894.48063000012,20.285,1.2931,SSO_KMTA19,KMT(I),KMT
57894.48496000003,19.4154,0.0841,SSO_KMTA19,KMT(I),KMT
57894.546870000195,19.4343,0.1086,SSO_KMTA19,KMT(I),KMT
57894.60662999982,19.4706,0.0753,SSO_KMTA19,KMT(I),KMT
57894.665039999876,19.3307,0.066,SSO_KMTA19,KMT(I),KMT
57894.719240000006,19.2385,0.05,SSO_KMTA19,KMT(I),KMT
57894.784190000035,19.2537,0.063,SSO_KMTA19,KMT(I),KMT
57895.47752000019,19.28,0.0887,SSO_KMTA19,KMT(I),KMT
57895.51751000015,19.267,0.0568,SSO_KMTA19,KMT(I),KMT
57895.57376000006,19.43,0.0593,SSO_KMTA19,KMT(I),KMT
57895.63928999985,19.5995,0.0599,SSO_KMTA19,KMT(I),KMT
57895.707419999875,19.4479,0.0508,SSO_KMTA19,KMT(I),KMT
57896.706019999925,19.4617,0.0582,SSO_KMTA19,KMT(I),KMT
57897.47128000017,19.773,0.1246,SSO_KMTA19,KMT(I),KMT
57897.52383999992,20.2123,0.2412,SSO_KMTA19,KMT(I),KMT
57898.468549999874,19.1971,0.0622,SSO_KMTA19,KMT(I),KMT
57898.473319999874,19.3774,0.0754,SSO_KMTA19,KMT(I),KMT
57898.52988999989,19.3826,0.064,SSO_KMTA19,KMT(I),KMT
57898.580860000104,19.4505,0.0478,SSO_KMTA19,KMT(I),KMT
57898.64553999994,19.4175,0.0378,SSO_KMTA19,KMT(I),KMT
57898.70475000003,19.3876,0.0409,SSO_KMTA19,KMT(I),KMT
57898.75416000001,19.415,0.0448,SSO_KMTA19,KMT(I),KMT
57898.81263000006,19.5808,0.0572,SSO_KMTA19,KMT(I),KMT
57899.46664999984,19.3793,0.0591,SSO_KMTA19,KMT(I),KMT
57899.47098999983,19.2987,0.0508,SSO_KMTA19,KMT(I),KMT
57899.52352999989,19.3351,0.0516,SSO_KMTA19,KMT(I),KMT
57899.581269999966,19.4393,0.0446,SSO_KMTA19,KMT(I),KMT
57899.63342999993,19.3951,0.0416,SSO_KMTA19,KMT(I),KMT
57899.69372999994,19.5121,0.0441,SSO_KMTA19,KMT(I),KMT
57899.75346999988,19.3248,0.0473,SSO_KMTA19,KMT(I),KMT
57899.808259999845,19.4673,0.0576,SSO_KMTA19,KMT(I),KMT
57900.462820000015,19.5185,0.1807,SSO_KMTA19,KMT(I),KMT
57900.4675400001,19.4165,0.1173,SSO_KMTA19,KMT(I),KMT
57900.52590999985,19.3451,0.05,SSO_KMTA19,KMT(I),KMT
