MJD,Magnitude,Error,Facility,Filter,Observer
2510707.38315,19.691,0.3712,CTIO_KMTC42,KMT(I),KMT
2510708.38495,19.8639,0.3997,CTIO_KMTC42,KMT(I),KMT
2510708.3876799997,20.0777,0.9558,CTIO_KMTC42,KMT(I),KMT
2510709.3835199997,19.7858,0.241,CTIO_KMTC42,KMT(I),KMT
2510710.3854900002,20.2741,0.4727,CTIO_KMTC42,KMT(I),KMT
2510712.38939,20.3638,1.021,CTIO_KMTC42,KMT(I),KMT
2510714.39052,20.0397,0.6115,CTIO_KMTC42,KMT(I),KMT
2510715.38872,19.9006,0.1784,CTIO_KMTC42,KMT(I),KMT
2510716.38896,20.1283,0.3663,CTIO_KMTC42,KMT(I),KMT
2510717.3891400006,20.0934,0.215,CTIO_KMTC42,KMT(I),KMT
2510718.39389,20.2565,0.365,CTIO_KMTC42,KMT(I),KMT
2510719.39143,19.7762,0.2338,CTIO_KMTC42,KMT(I),KMT
2510725.4003,19.7928,0.4272,CTIO_KMTC42,KMT(I),KMT
2510726.35257,20.0035,0.14,CTIO_KMTC42,KMT(I),KMT
2510727.3519,20.0145,0.1303,CTIO_KMTC42,KMT(I),KMT
2510727.3684100006,19.9912,0.1216,CTIO_KMTC42,KMT(I),KMT
2510728.3409899995,19.5362,0.2115,CTIO_KMTC42,KMT(I),KMT
2510728.36116,20.1629,0.3504,CTIO_KMTC42,KMT(I),KMT
2510729.3425699994,20.1848,0.2005,CTIO_KMTC42,KMT(I),KMT
2510729.35405,20.1105,0.2372,CTIO_KMTC42,KMT(I),KMT
2510729.3651899993,20.1124,0.2092,CTIO_KMTC42,KMT(I),KMT
2510729.3765399996,19.8008,0.1212,CTIO_KMTC42,KMT(I),KMT
2510730.3241600003,19.6293,0.1159,CTIO_KMTC42,KMT(I),KMT
2510730.34079,19.7187,0.114,CTIO_KMTC42,KMT(I),KMT
2510730.3612399995,19.8909,0.1279,CTIO_KMTC42,KMT(I),KMT
2510731.33007,19.9323,0.1068,CTIO_KMTC42,KMT(I),KMT
2510731.3536399994,20.008,0.1022,CTIO_KMTC42,KMT(I),KMT
2510731.3722,20.0582,0.1035,CTIO_KMTC42,KMT(I),KMT
2510732.32701,19.9473,0.0935,CTIO_KMTC42,KMT(I),KMT
2510732.34729,19.8866,0.0829,CTIO_KMTC42,KMT(I),KMT
2510732.3708999995,19.9195,0.0812,CTIO_KMTC42,KMT(I),KMT
2510732.38746,20.0102,0.0863,CTIO_KMTC42,KMT(I),KMT
2510733.3371200003,20.1199,0.1209,CTIO_KMTC42,KMT(I),KMT
2510733.3544200007,20.0935,0.1175,CTIO_KMTC42,KMT(I),KMT
2510733.3716899995,19.9105,0.0855,CTIO_KMTC42,KMT(I),KMT
