MJD,Magnitude,Error,Facility,Filter,Observer
2510729.1152800005,20.1121,0.777,SAAO_KMTS42,KMT(I),KMT
2510729.1266099997,19.3755,0.3792,SAAO_KMTS42,KMT(I),KMT
2510729.1390700005,19.7242,0.67,SAAO_KMTS42,KMT(I),KMT
2510733.0779800005,20.0123,0.2304,SAAO_KMTS42,KMT(I),KMT
2510733.0981799997,19.1979,0.1007,SAAO_KMTS42,KMT(I),KMT
2510733.11006,20.2273,0.2104,SAAO_KMTS42,KMT(I),KMT
2510733.1219299994,19.6684,0.1335,SAAO_KMTS42,KMT(I),KMT
2510733.1338800006,19.9535,0.1979,SAAO_KMTS42,KMT(I),KMT
2510737.08256,19.5809,0.1155,SAAO_KMTS42,KMT(I),KMT
2510737.1024699993,19.7333,0.1068,SAAO_KMTS42,KMT(I),KMT
2510737.11764,20.0052,0.2007,SAAO_KMTS42,KMT(I),KMT
2510737.13564,19.6085,0.1103,SAAO_KMTS42,KMT(I),KMT
2510738.06785,19.0476,0.0784,SAAO_KMTS42,KMT(I),KMT
2510738.07943,19.4216,0.1096,SAAO_KMTS42,KMT(I),KMT
2510738.0910100006,19.579,0.1167,SAAO_KMTS42,KMT(I),KMT
2510738.1102799997,19.4958,0.0961,SAAO_KMTS42,KMT(I),KMT
2510738.1222399995,19.9924,0.1565,SAAO_KMTS42,KMT(I),KMT
2510738.13409,19.6869,0.1114,SAAO_KMTS42,KMT(I),KMT
2510738.1461200006,19.6332,0.1616,SAAO_KMTS42,KMT(I),KMT
2510739.10264,19.1808,0.0991,SAAO_KMTS42,KMT(I),KMT
2510739.1143999994,19.5973,0.1141,SAAO_KMTS42,KMT(I),KMT
2510739.1261100005,20.0793,0.1374,SAAO_KMTS42,KMT(I),KMT
2510740.0479499996,19.45,0.1055,SAAO_KMTS42,KMT(I),KMT
2510740.0668400005,19.7709,0.14,SAAO_KMTS42,KMT(I),KMT
2510740.0783200003,19.4833,0.0854,SAAO_KMTS42,KMT(I),KMT
2510740.0901800003,19.7039,0.1063,SAAO_KMTS42,KMT(I),KMT
2510740.10176,19.8474,0.1055,SAAO_KMTS42,KMT(I),KMT
2510740.11314,19.7045,0.0945,SAAO_KMTS42,KMT(I),KMT
2510740.132,19.8391,0.132,SAAO_KMTS42,KMT(I),KMT
2510740.1437,19.6842,0.1365,SAAO_KMTS42,KMT(I),KMT
2510743.0505,19.8325,0.1424,SAAO_KMTS42,KMT(I),KMT
2510743.0619900003,19.5387,0.2346,SAAO_KMTS42,KMT(I),KMT
2510743.0738500003,19.5192,0.1801,SAAO_KMTS42,KMT(I),KMT
2510743.08545,19.253,0.1049,SAAO_KMTS42,KMT(I),KMT
2510743.10527,19.4133,0.0659,SAAO_KMTS42,KMT(I),KMT
2510743.1170300003,19.6312,0.0783,SAAO_KMTS42,KMT(I),KMT
2510743.1288,19.4932,0.078,SAAO_KMTS42,KMT(I),KMT
2510743.1403800007,19.6462,0.1218,SAAO_KMTS42,KMT(I),KMT
2510743.1519099995,19.1802,0.0936,SAAO_KMTS42,KMT(I),KMT
2510744.04385,18.9562,0.0633,SAAO_KMTS42,KMT(I),KMT
