MJD,Magnitude,Error,Facility,Filter,Observer
2510726.7241900004,18.3866,0.1058,SSO_KMTA02,KMT(I),KMT
2510726.74355,18.3785,0.104,SSO_KMTA02,KMT(I),KMT
2510727.7313199993,20.2216,0.5272,SSO_KMTA02,KMT(I),KMT
2510727.7430300005,19.7833,0.2343,SSO_KMTA02,KMT(I),KMT
2510727.75488,20.4311,0.642,SSO_KMTA02,KMT(I),KMT
2510727.7665299997,20.311,0.7754,SSO_KMTA02,KMT(I),KMT
2510729.7270800006,19.5284,0.4207,SSO_KMTA02,KMT(I),KMT
2510729.73914,18.3655,0.1395,SSO_KMTA02,KMT(I),KMT
2510729.75234,19.4518,0.2511,SSO_KMTA02,KMT(I),KMT
2510730.72447,20.1546,0.2621,SSO_KMTA02,KMT(I),KMT
2510730.7357899994,19.7669,0.2182,SSO_KMTA02,KMT(I),KMT
2510730.7471399996,21.2073,0.9955,SSO_KMTA02,KMT(I),KMT
2510730.75911,19.5948,0.1259,SSO_KMTA02,KMT(I),KMT
2510730.77107,19.8795,0.1687,SSO_KMTA02,KMT(I),KMT
2510731.72033,16.8052,0.0332,SSO_KMTA02,KMT(I),KMT
2510731.73948,17.5157,0.0623,SSO_KMTA02,KMT(I),KMT
2510731.7512100004,18.2362,0.0854,SSO_KMTA02,KMT(I),KMT
2510731.76308,18.2578,0.0961,SSO_KMTA02,KMT(I),KMT
2510732.72654,20.531,0.481,SSO_KMTA02,KMT(I),KMT
2510732.7384099998,19.7309,0.2106,SSO_KMTA02,KMT(I),KMT
2510732.75765,18.989,0.1319,SSO_KMTA02,KMT(I),KMT
2510732.76949,19.6878,0.187,SSO_KMTA02,KMT(I),KMT
2510732.7814499997,20.5757,0.6789,SSO_KMTA02,KMT(I),KMT
2510733.7163699996,19.6022,0.2113,SSO_KMTA02,KMT(I),KMT
2510733.7282299995,20.721,0.7115,SSO_KMTA02,KMT(I),KMT
2510733.74754,18.3324,0.0742,SSO_KMTA02,KMT(I),KMT
2510733.7594,19.2073,0.1428,SSO_KMTA02,KMT(I),KMT
2510733.77137,18.9031,0.1105,SSO_KMTA02,KMT(I),KMT
2510733.78331,20.0129,0.3271,SSO_KMTA02,KMT(I),KMT
2510734.7124300003,19.7343,0.1717,SSO_KMTA02,KMT(I),KMT
2510734.7317699995,19.8537,0.1117,SSO_KMTA02,KMT(I),KMT
2510734.7434599996,20.1164,0.1445,SSO_KMTA02,KMT(I),KMT
2510734.7553199995,20.019,0.1659,SSO_KMTA02,KMT(I),KMT
2510734.7672700007,19.7438,0.0956,SSO_KMTA02,KMT(I),KMT
2510734.77907,19.667,0.0924,SSO_KMTA02,KMT(I),KMT
2510735.7150100004,17.7654,0.0671,SSO_KMTA02,KMT(I),KMT
2510735.7270100005,19.3264,0.1461,SSO_KMTA02,KMT(I),KMT
2510735.7389199995,19.8658,0.1518,SSO_KMTA02,KMT(I),KMT
2510735.7508499995,19.3803,0.1109,SSO_KMTA02,KMT(I),KMT
2510735.7628799994,19.6974,0.135,SSO_KMTA02,KMT(I),KMT
2510735.7749000005,20.1786,0.4949,SSO_KMTA02,KMT(I),KMT
2510736.7103899997,19.5733,0.1453,SSO_KMTA02,KMT(I),KMT
2510736.72238,19.6132,0.1632,SSO_KMTA02,KMT(I),KMT
2510736.7341,19.3821,0.1214,SSO_KMTA02,KMT(I),KMT
2510736.7459500004,19.7178,0.1284,SSO_KMTA02,KMT(I),KMT
2510736.75794,19.9108,0.185,SSO_KMTA02,KMT(I),KMT
2510736.7771700006,20.0928,0.212,SSO_KMTA02,KMT(I),KMT
2510736.7890300006,19.9812,0.4226,SSO_KMTA02,KMT(I),KMT
2510749.67457,14.7295,3.0108,SSO_KMTA02,KMT(I),KMT
2510749.7174900007,18.6517,0.3254,SSO_KMTA02,KMT(I),KMT
2510749.7648,18.2859,2.2489,SSO_KMTA02,KMT(I),KMT
2510750.7603399996,18.9377,0.4256,SSO_KMTA02,KMT(I),KMT
2510750.7723900005,18.0428,0.1495,SSO_KMTA02,KMT(I),KMT
2510750.7842500005,17.4202,0.0603,SSO_KMTA02,KMT(I),KMT
2510750.8033799995,17.7205,0.1962,SSO_KMTA02,KMT(I),KMT
2510753.74342,18.693,0.1953,SSO_KMTA02,KMT(I),KMT
2510753.7552199997,19.4542,0.26,SSO_KMTA02,KMT(I),KMT
2510753.7582,17.4712,0.4454,SSO_KMTA02,KMT(I),KMT
2510765.64124,19.3424,0.2167,SSO_KMTA02,KMT(I),KMT
2510765.65316,20.6324,1.2569,SSO_KMTA02,KMT(I),KMT
2510765.6651099995,18.3104,0.0867,SSO_KMTA02,KMT(I),KMT
2510765.77434,18.881,0.146,SSO_KMTA02,KMT(I),KMT
2510765.7862400003,19.3163,0.2407,SSO_KMTA02,KMT(I),KMT
2510767.63942,20.3983,0.6018,SSO_KMTA02,KMT(I),KMT
2510767.65097,19.551,0.2113,SSO_KMTA02,KMT(I),KMT
2510767.6624,19.295,0.1887,SSO_KMTA02,KMT(I),KMT
2510767.67437,20.0471,0.3845,SSO_KMTA02,KMT(I),KMT
2510767.6863599997,19.9553,0.3492,SSO_KMTA02,KMT(I),KMT
2510767.70574,19.2955,0.1712,SSO_KMTA02,KMT(I),KMT
2510767.7176399995,20.1354,0.4898,SSO_KMTA02,KMT(I),KMT
2510767.7296200003,20.371,0.5165,SSO_KMTA02,KMT(I),KMT
2510767.74153,19.6368,0.2383,SSO_KMTA02,KMT(I),KMT
2510767.75335,19.9654,0.3506,SSO_KMTA02,KMT(I),KMT
2510767.76581,19.4626,0.1739,SSO_KMTA02,KMT(I),KMT
2510767.78505,20.3402,0.5348,SSO_KMTA02,KMT(I),KMT
2510767.7969899997,19.6888,0.2634,SSO_KMTA02,KMT(I),KMT
2510767.80896,19.1419,0.1795,SSO_KMTA02,KMT(I),KMT
2510768.6226400007,20.4333,0.8072,SSO_KMTA02,KMT(I),KMT
2510768.6346000005,20.5726,0.7475,SSO_KMTA02,KMT(I),KMT
2510768.6465099994,20.3458,0.3672,SSO_KMTA02,KMT(I),KMT
2510768.66577,19.5563,0.2436,SSO_KMTA02,KMT(I),KMT
2510768.6773000006,20.4463,0.6005,SSO_KMTA02,KMT(I),KMT
2510768.68877,20.2335,0.3682,SSO_KMTA02,KMT(I),KMT
2510768.70012,19.4052,0.2506,SSO_KMTA02,KMT(I),KMT
2510768.71359,19.6647,0.2623,SSO_KMTA02,KMT(I),KMT
2510768.73668,19.9186,0.238,SSO_KMTA02,KMT(I),KMT
2510768.7486499995,20.9954,0.6888,SSO_KMTA02,KMT(I),KMT
2510768.76004,19.9346,0.2203,SSO_KMTA02,KMT(I),KMT
2510768.772,20.325,0.2931,SSO_KMTA02,KMT(I),KMT
2510768.7839899994,20.2871,0.2647,SSO_KMTA02,KMT(I),KMT
2510768.80337,20.0845,0.319,SSO_KMTA02,KMT(I),KMT
2510769.6224799994,19.0895,0.1115,SSO_KMTA02,KMT(I),KMT
2510769.6342399996,19.6628,0.2738,SSO_KMTA02,KMT(I),KMT
2510769.64623,19.6912,0.2136,SSO_KMTA02,KMT(I),KMT
2510769.65809,20.2883,0.3249,SSO_KMTA02,KMT(I),KMT
2510769.6796700004,20.7556,0.8072,SSO_KMTA02,KMT(I),KMT
2510769.69159,19.1446,0.131,SSO_KMTA02,KMT(I),KMT
2510769.70349,20.0696,0.3307,SSO_KMTA02,KMT(I),KMT
2510769.7155099995,19.2165,0.177,SSO_KMTA02,KMT(I),KMT
2510769.7274399996,19.5729,0.2148,SSO_KMTA02,KMT(I),KMT
2510769.7467899993,19.2658,0.1382,SSO_KMTA02,KMT(I),KMT
2510769.75877,19.0948,0.1521,SSO_KMTA02,KMT(I),KMT
2510769.77059,18.7368,0.104,SSO_KMTA02,KMT(I),KMT
2510769.78237,19.1598,0.1205,SSO_KMTA02,KMT(I),KMT
2510769.7938199993,18.7649,0.1183,SSO_KMTA02,KMT(I),KMT
2510769.81307,18.6458,0.1768,SSO_KMTA02,KMT(I),KMT
2510770.6350100003,17.7936,0.0737,SSO_KMTA02,KMT(I),KMT
2510770.64697,18.1533,0.0792,SSO_KMTA02,KMT(I),KMT
2510770.65897,19.5949,0.2811,SSO_KMTA02,KMT(I),KMT
2510770.6706499998,18.7015,0.1371,SSO_KMTA02,KMT(I),KMT
2510770.68236,19.3778,0.1741,SSO_KMTA02,KMT(I),KMT
2510770.69408,19.8428,0.3264,SSO_KMTA02,KMT(I),KMT
2510770.71299,20.1199,0.4299,SSO_KMTA02,KMT(I),KMT
2510770.7268199995,19.4458,0.1888,SSO_KMTA02,KMT(I),KMT
2510770.73883,20.1439,0.3062,SSO_KMTA02,KMT(I),KMT
2510770.75055,19.5235,0.1785,SSO_KMTA02,KMT(I),KMT
2510770.76246,19.9161,0.3212,SSO_KMTA02,KMT(I),KMT
2510770.78156,19.9422,0.2615,SSO_KMTA02,KMT(I),KMT
2510770.79352,19.7153,0.1736,SSO_KMTA02,KMT(I),KMT
2510770.8053099997,20.5748,0.3805,SSO_KMTA02,KMT(I),KMT
2510771.61627,20.0126,0.241,SSO_KMTA02,KMT(I),KMT
2510771.62973,21.2635,2.8044,SSO_KMTA02,KMT(I),KMT
2510771.64888,20.1922,0.2392,SSO_KMTA02,KMT(I),KMT
2510771.6608799994,19.8859,0.201,SSO_KMTA02,KMT(I),KMT
2510771.6728499997,20.1665,0.2963,SSO_KMTA02,KMT(I),KMT
2510771.6848300006,19.9816,0.2477,SSO_KMTA02,KMT(I),KMT
2510771.6968399994,20.6457,0.4714,SSO_KMTA02,KMT(I),KMT
2510771.7160599995,19.8008,0.1874,SSO_KMTA02,KMT(I),KMT
2510771.7279199995,19.9806,0.2377,SSO_KMTA02,KMT(I),KMT
2510771.7398799993,19.9021,0.2197,SSO_KMTA02,KMT(I),KMT
2510771.75191,20.0548,0.3382,SSO_KMTA02,KMT(I),KMT
2510771.76365,20.0456,0.172,SSO_KMTA02,KMT(I),KMT
2510771.78297,19.7729,0.1285,SSO_KMTA02,KMT(I),KMT
2510771.7949899994,19.8116,0.1895,SSO_KMTA02,KMT(I),KMT
2510771.8068199996,20.1746,0.3025,SSO_KMTA02,KMT(I),KMT
2510771.82017,20.3534,2.925,SSO_KMTA02,KMT(I),KMT
2510772.6134600006,19.729,0.2339,SSO_KMTA02,KMT(I),KMT
2510772.62546,21.2953,3.2566,SSO_KMTA02,KMT(I),KMT
2510772.64482,19.9486,0.1979,SSO_KMTA02,KMT(I),KMT
2510772.65661,19.9018,0.2821,SSO_KMTA02,KMT(I),KMT
2510772.6687000003,19.7166,0.1581,SSO_KMTA02,KMT(I),KMT
2510772.6803,19.9872,0.1758,SSO_KMTA02,KMT(I),KMT
2510772.6923200004,19.5613,0.1524,SSO_KMTA02,KMT(I),KMT
2510772.7116599996,20.425,0.4307,SSO_KMTA02,KMT(I),KMT
2510772.7231799997,20.0798,0.2601,SSO_KMTA02,KMT(I),KMT
2510772.7346,20.0194,0.1895,SSO_KMTA02,KMT(I),KMT
2510772.7461200003,20.199,0.2821,SSO_KMTA02,KMT(I),KMT
2510772.75784,19.657,0.3178,SSO_KMTA02,KMT(I),KMT
2510772.7776500005,20.3473,0.4225,SSO_KMTA02,KMT(I),KMT
2510772.78993,20.4674,0.509,SSO_KMTA02,KMT(I),KMT
2510772.80189,20.4308,0.428,SSO_KMTA02,KMT(I),KMT
2510772.81374,19.9038,0.4759,SSO_KMTA02,KMT(I),KMT
2510773.6114499997,19.4153,0.1898,SSO_KMTA02,KMT(I),KMT
2510773.62345,19.0856,0.1599,SSO_KMTA02,KMT(I),KMT
2510773.64264,19.2367,0.1534,SSO_KMTA02,KMT(I),KMT
2510773.6545400005,19.2965,0.1609,SSO_KMTA02,KMT(I),KMT
2510773.6665400006,20.3666,0.4311,SSO_KMTA02,KMT(I),KMT
2510773.67849,19.2733,0.13,SSO_KMTA02,KMT(I),KMT
2510773.69025,20.3249,0.4861,SSO_KMTA02,KMT(I),KMT
2510774.61027,20.4065,0.6032,SSO_KMTA02,KMT(I),KMT
2510774.6220200006,19.375,0.2584,SSO_KMTA02,KMT(I),KMT
2510774.6340200007,20.1206,0.4723,SSO_KMTA02,KMT(I),KMT
2510774.6459100004,19.7868,0.2813,SSO_KMTA02,KMT(I),KMT
2510774.6577700004,20.3359,0.3932,SSO_KMTA02,KMT(I),KMT
2510774.6888800003,19.3925,0.1995,SSO_KMTA02,KMT(I),KMT
2510774.70921,20.5351,1.203,SSO_KMTA02,KMT(I),KMT
2510775.60755,20.4876,0.8209,SSO_KMTA02,KMT(I),KMT
2510775.61955,20.3443,0.4142,SSO_KMTA02,KMT(I),KMT
2510775.63609,19.8901,0.3019,SSO_KMTA02,KMT(I),KMT
2510775.6477499995,19.934,0.2457,SSO_KMTA02,KMT(I),KMT
2510775.6596,19.9314,0.4057,SSO_KMTA02,KMT(I),KMT
2510775.6787,19.6839,0.2079,SSO_KMTA02,KMT(I),KMT
2510775.6910999995,19.8573,0.4859,SSO_KMTA02,KMT(I),KMT
2510775.70294,19.7518,0.2661,SSO_KMTA02,KMT(I),KMT
2510775.7147499993,20.0742,0.4001,SSO_KMTA02,KMT(I),KMT
2510775.72652,20.4893,0.5912,SSO_KMTA02,KMT(I),KMT
2510775.74565,19.6188,0.1665,SSO_KMTA02,KMT(I),KMT
2510775.7576400004,20.0563,0.3012,SSO_KMTA02,KMT(I),KMT
2510775.7811900005,19.6609,0.3807,SSO_KMTA02,KMT(I),KMT
2510776.609,20.5011,0.7451,SSO_KMTA02,KMT(I),KMT
2510776.6204400007,19.4388,0.2104,SSO_KMTA02,KMT(I),KMT
2510776.6321,20.6171,1.037,SSO_KMTA02,KMT(I),KMT
2510776.64406,19.8983,0.3343,SSO_KMTA02,KMT(I),KMT
2510776.6565000005,19.9538,0.2931,SSO_KMTA02,KMT(I),KMT
2510776.67526,19.9821,0.2782,SSO_KMTA02,KMT(I),KMT
2510776.6943500005,20.8615,0.6018,SSO_KMTA02,KMT(I),KMT
2510776.70612,19.9903,0.219,SSO_KMTA02,KMT(I),KMT
2510776.72336,19.8286,0.2289,SSO_KMTA02,KMT(I),KMT
2510776.73513,19.8199,0.2355,SSO_KMTA02,KMT(I),KMT
2510776.7469500005,19.5977,0.1365,SSO_KMTA02,KMT(I),KMT
2510776.7661499996,20.1907,0.2261,SSO_KMTA02,KMT(I),KMT
2510776.77802,19.8307,0.1258,SSO_KMTA02,KMT(I),KMT
2510776.79034,19.9639,0.2235,SSO_KMTA02,KMT(I),KMT
2510776.8033799995,19.8554,0.209,SSO_KMTA02,KMT(I),KMT
2510776.81515,19.4362,0.2221,SSO_KMTA02,KMT(I),KMT
2510777.6046699993,18.89,0.1978,SSO_KMTA02,KMT(I),KMT
2510777.62526,19.3656,0.2111,SSO_KMTA02,KMT(I),KMT
2510777.63762,19.6232,0.2894,SSO_KMTA02,KMT(I),KMT
2510777.65013,20.3,0.751,SSO_KMTA02,KMT(I),KMT
2510777.6749099996,20.1291,0.5081,SSO_KMTA02,KMT(I),KMT
2510777.70708,19.8524,0.3901,SSO_KMTA02,KMT(I),KMT
2510777.7202000003,20.8393,4.3168,SSO_KMTA02,KMT(I),KMT
2510777.73345,20.0626,0.4202,SSO_KMTA02,KMT(I),KMT
2510777.7473399993,19.8269,0.4458,SSO_KMTA02,KMT(I),KMT
2510777.76987,19.6675,0.4056,SSO_KMTA02,KMT(I),KMT
2510777.8190599997,19.7044,0.7361,SSO_KMTA02,KMT(I),KMT
2510778.5978800002,19.8688,0.4226,SSO_KMTA02,KMT(I),KMT
2510778.62839,20.5625,1.3088,SSO_KMTA02,KMT(I),KMT
2510778.6402000003,19.4112,0.325,SSO_KMTA02,KMT(I),KMT
2510778.65206,20.0107,0.427,SSO_KMTA02,KMT(I),KMT
2510778.6638900004,19.6915,0.2324,SSO_KMTA02,KMT(I),KMT
2510778.67579,19.7347,0.2303,SSO_KMTA02,KMT(I),KMT
2510778.6948799994,19.4882,0.18,SSO_KMTA02,KMT(I),KMT
2510778.7068799995,19.4414,0.2277,SSO_KMTA02,KMT(I),KMT
2510778.71842,20.1186,0.5902,SSO_KMTA02,KMT(I),KMT
2510778.73018,19.8521,0.3514,SSO_KMTA02,KMT(I),KMT
2510778.7421499994,19.815,0.3129,SSO_KMTA02,KMT(I),KMT
2510778.76141,19.765,0.3429,SSO_KMTA02,KMT(I),KMT
2510778.77338,21.2001,1.3969,SSO_KMTA02,KMT(I),KMT
2510778.7853500005,20.1669,0.4359,SSO_KMTA02,KMT(I),KMT
2510778.79756,20.542,0.9955,SSO_KMTA02,KMT(I),KMT
2510778.81087,20.0651,0.7113,SSO_KMTA02,KMT(I),KMT
2510779.5948600005,19.8845,0.488,SSO_KMTA02,KMT(I),KMT
2510779.6139199995,19.5887,0.4861,SSO_KMTA02,KMT(I),KMT
2510779.63827,20.7402,1.9783,SSO_KMTA02,KMT(I),KMT
2510779.6501199994,20.274,1.1473,SSO_KMTA02,KMT(I),KMT
2510779.6629099995,19.4083,0.2561,SSO_KMTA02,KMT(I),KMT
2510779.68224,20.7912,1.4533,SSO_KMTA02,KMT(I),KMT
2510779.6940599997,20.2157,0.6906,SSO_KMTA02,KMT(I),KMT
2510779.70582,20.1107,0.4686,SSO_KMTA02,KMT(I),KMT
2510779.7176200002,20.1378,0.4956,SSO_KMTA02,KMT(I),KMT
2510779.72948,19.2341,0.2104,SSO_KMTA02,KMT(I),KMT
2510779.74869,20.079,0.5909,SSO_KMTA02,KMT(I),KMT
2510779.76069,19.7361,0.4243,SSO_KMTA02,KMT(I),KMT
2510779.7725600004,19.2157,0.311,SSO_KMTA02,KMT(I),KMT
2510779.7843900006,20.8771,3.9885,SSO_KMTA02,KMT(I),KMT
2510779.7964200005,19.5201,0.655,SSO_KMTA02,KMT(I),KMT
2510779.8156899996,20.0884,1.9435,SSO_KMTA02,KMT(I),KMT
2510780.5971600004,18.8102,0.2568,SSO_KMTA02,KMT(I),KMT
2510780.60939,19.1527,0.407,SSO_KMTA02,KMT(I),KMT
2510780.62113,18.6188,0.2253,SSO_KMTA02,KMT(I),KMT
2510780.64506,18.6547,0.2568,SSO_KMTA02,KMT(I),KMT
2510781.59664,20.6452,2.969,SSO_KMTA02,KMT(I),KMT
2510781.60848,20.0937,1.9264,SSO_KMTA02,KMT(I),KMT
2510781.6322799996,18.9808,0.291,SSO_KMTA02,KMT(I),KMT
2510781.64425,20.3557,1.7718,SSO_KMTA02,KMT(I),KMT
2510781.6769699994,19.2079,0.334,SSO_KMTA02,KMT(I),KMT
2510781.68862,19.4212,0.3289,SSO_KMTA02,KMT(I),KMT
2510781.70065,19.5489,0.4123,SSO_KMTA02,KMT(I),KMT
2510781.71253,19.855,0.6608,SSO_KMTA02,KMT(I),KMT
2510781.73159,20.8457,2.7652,SSO_KMTA02,KMT(I),KMT
2510781.7434899993,19.5646,0.368,SSO_KMTA02,KMT(I),KMT
2510781.7678500004,19.7926,0.4612,SSO_KMTA02,KMT(I),KMT
2510781.77936,20.2926,1.7999,SSO_KMTA02,KMT(I),KMT
2510781.8074200004,19.4984,0.8633,SSO_KMTA02,KMT(I),KMT
2510782.6227199994,19.6925,1.4676,SSO_KMTA02,KMT(I),KMT
2510782.73309,19.8597,3.2732,SSO_KMTA02,KMT(I),KMT
2510782.74486,19.4578,1.1328,SSO_KMTA02,KMT(I),KMT
2510782.76831,18.6594,0.6905,SSO_KMTA02,KMT(I),KMT
2510782.80937,18.806,0.9004,SSO_KMTA02,KMT(I),KMT
2510784.6134399995,19.0937,0.409,SSO_KMTA02,KMT(I),KMT
2510784.63707,19.5407,0.9204,SSO_KMTA02,KMT(I),KMT
2510784.6490899995,18.7937,0.3088,SSO_KMTA02,KMT(I),KMT
2510784.67067,20.0827,1.9333,SSO_KMTA02,KMT(I),KMT
2510784.68245,19.2363,0.3235,SSO_KMTA02,KMT(I),KMT
2510784.7089600004,19.7192,0.8204,SSO_KMTA02,KMT(I),KMT
2510784.7364799995,19.0526,0.2862,SSO_KMTA02,KMT(I),KMT
2510784.7692,19.1857,0.3187,SSO_KMTA02,KMT(I),KMT
2510784.78108,19.9024,0.7925,SSO_KMTA02,KMT(I),KMT
2510784.79268,19.8213,0.623,SSO_KMTA02,KMT(I),KMT
2510786.5772399995,19.8742,0.3787,SSO_KMTA02,KMT(I),KMT
2510786.58918,19.629,0.2451,SSO_KMTA02,KMT(I),KMT
2510786.6011999995,19.3747,0.208,SSO_KMTA02,KMT(I),KMT
2510786.6130299997,19.3562,0.199,SSO_KMTA02,KMT(I),KMT
2510786.6317999996,19.0936,0.1515,SSO_KMTA02,KMT(I),KMT
2510786.6437599994,19.028,0.1759,SSO_KMTA02,KMT(I),KMT
2510786.65572,20.8286,1.3025,SSO_KMTA02,KMT(I),KMT
2510786.66765,19.6803,0.2771,SSO_KMTA02,KMT(I),KMT
2510786.6794499997,20.1398,0.4197,SSO_KMTA02,KMT(I),KMT
2510786.69859,20.4801,0.7386,SSO_KMTA02,KMT(I),KMT
2510786.7103899997,20.7042,1.1967,SSO_KMTA02,KMT(I),KMT
2510786.73071,20.1346,0.3214,SSO_KMTA02,KMT(I),KMT
2510786.7425500005,19.9663,0.343,SSO_KMTA02,KMT(I),KMT
2510786.75502,19.9688,0.483,SSO_KMTA02,KMT(I),KMT
2510786.77436,19.4654,0.2201,SSO_KMTA02,KMT(I),KMT
2510786.78625,19.7323,0.3085,SSO_KMTA02,KMT(I),KMT
2510786.7982,19.7988,0.4995,SSO_KMTA02,KMT(I),KMT
2510786.8099300005,20.2377,0.6577,SSO_KMTA02,KMT(I),KMT
2510786.8218900003,19.0719,0.3976,SSO_KMTA02,KMT(I),KMT
2510787.60057,19.8463,0.6399,SSO_KMTA02,KMT(I),KMT
2510788.6027799994,20.7437,1.5677,SSO_KMTA02,KMT(I),KMT
2510788.6151,19.4709,0.2016,SSO_KMTA02,KMT(I),KMT
2510789.56848,19.0602,0.1699,SSO_KMTA02,KMT(I),KMT
2510789.58029,20.2191,0.3787,SSO_KMTA02,KMT(I),KMT
2510789.5922999997,19.7492,0.1909,SSO_KMTA02,KMT(I),KMT
